voice,ticker,action,conviction,confidence,horizon,thesis
fundamental,NVDA,BUY,8,Medium,Medium,"ROE 117.2% and ROIC 59.2% on a net-cash balance sheet (net debt/EBITDA -0.12) with 63.7% net and 66.2% operating margin - best-in-set returns on capital. FCF yield 0.79% is the honest caveat: elite business, thin cash return at this price."
fundamental,APP,BUY,8,Low,Medium,"Highest quality profile in the candidate set: ROE 203.7%, ROIC 65.5%, 64.6% net / 77.7% operating margin, net debt/EBITDA 0.09. Rank 1 of 614 for four consecutive runs. Confidence low because D/E 111 and no insider or 52w-range endpoint data exist."
fundamental,V,BUY,8,Medium,Long,"ROIC 41.5%, ROE 61.2%, 50.8% net / 66.1% operating margin, net debt/EBITDA 0.32, 14.4% revenue growth on a 10.9% 3y CAGR. Same economics as MA without MA's D/E 439.6 screen fail - identical quality, cleaner balance sheet."
fundamental,TSM,BUY,7,Low,Long,"ROE 40.0%, net cash (net debt/EBITDA -0.77), 49.9% net / 60.3% operating margin, 36% revenue growth. Case rests on these fields only: roic_pct 183.7% and fcf_yield 32.52% are implausible for a foundry and are not used despite passing the detector."
fundamental,ABB.ST,SELL,6,Medium,Medium,"fcf_yield_pct 0.09% and ~4.4% FCF margin is the thinnest cash conversion of any holding. ROE 32.6% and ROIC 20.6% are good on paper but almost none of it converts to free cash at this price."
valuation,VICI,BUY,8,Medium,Medium,"P/E 9.62, forward 8.30, 7.41% dividend yield, at 1% of its 52-week range with revenue still +5.7% and a 15.5% 3y CAGR. Net debt/EBITDA 4.82 approximates the leverage; no EV/EBITDA or FFO is computed anywhere in this system."
valuation,AZN.ST,BUY,7,Medium,Long,"The only holding this lens calls cheap: PEG 1.14 (improved from 1.33 at purchase) at 31% of its 52-week range, 17.0% net margin, 6.4% revenue growth, dividend intact at 47.4% payout. No forward P/E available (S21 Nordic coverage gap)."
valuation,MU,BUY,6,Low,Medium,"Forward P/E 6.25 against trailing 22.02 - the market pricing a large earnings step-up - with net cash (net debt/EBITDA -0.29) and 55.9% net margin. PEG 0.14 is NOT used: its denominator is the scout-flagged revenue_growth of 345.7%."
valuation,FIS,BUY,6,Low,Medium,"P/E 5.86, forward 5.69, FCF yield 13.49%, 4.61% dividend, at 2% of its 52-week range after a -9.9% week. Against it: net debt/EBITDA 5.82 and revenue 3y CAGR -9.8% contradicting the +29.1% ttm print."
valuation,ABB.ST,SELL,7,High,Medium,"Forward P/E 35.44x is flat against trailing 35.47x despite 14.2% ttm revenue growth - the market is pricing margin compression, not growth. Richest multiple of the three P6 industrials. price_to_book 106.60 is suspect and not used."
