date,total_value_sek,net_contribution_since_last_sek,note
2026-07-13,192500,0,third automated sweep - holdings unchanged since 2026-07-06 second sweep, no new contributions logged in portfolio.json
2026-07-13,226935,0,"same-day reconciliation, NOT organic growth: PayPal balance counted for the first time (14321 SEK), SEB final settlement confirmed exact (17382 vs prior ~18k estimate), Avanza ISK itemized exactly (36120 vs 36000 approx), HB now confirmed-sold cash (136612 vs 134894 pre-sale estimate). Do not treat the ~34.4k jump from the prior row as investment gain - it is data completeness. See SESSION_LOG.md 2026-07-13 entries."
2026-07-20,226905,0,"weekly automated sweep, holdings/accounts unchanged from 07-13 (HB/SEB cash still untransferred, no new contributions logged in portfolio.json). ~30 SEK variance vs the 226935 prior row is FX/price movement (fresh ETH price this sweep), not a data-completeness event. Equities (SHB-A.ST, INVE-A.ST, COIN-XBT.ST) priced at last-known 07-13 values - org egress policy blocked a fresh equities fetch this sweep, see SESSION_LOG.md 2026-07-20 entry."
2026-07-22,227703,0,"user-triggered follow-up sweep, NOT organic growth: found money (+17 SEK at hb-main), new hb-checking account counted for the first time (611 SEK), Avanza ISK confirmed live by user (181254 vs computed 181114.26). No new contributions logged in portfolio.json. Equities still priced at stale 07-13 values - fetch blocked 3rd consecutive sweep. See SESSION_LOG.md 2026-07-22 entry."
2026-08-02,183361.44,0,"auto-logged by run.py fetch on the Excel-backed branch (merged into main 2026-08-03). DO NOT compare directly with the 2026-08-03 row below: this figure comes from the branch's Excel portfolio state, which counted a different set of accounts than main's portfolio.json - notably it excludes the PayPal balance (~14,369 SEK) and the Handelsbanken accounts (~11,364 SEK). The ~36k gap versus the next row is an accounting-scope difference between the two parallel systems, NOT a loss. Reconciling the two scopes is tracked as an open item."
2026-08-03,219194.49,0,"weekly automated sweep. NOT directly comparable to the 2026-07-22 row (227703) as organic growth - this CSV has a logging gap covering the intervening 07-27/07-28 sessions, in which the Avanza Global purchase (119999 SEK), the Tundra sale (1535 SEK proceeds), and the Handelsbanken/SEB->ISK cash deployment all executed; those transactions, not market movement, account for most of the difference. No new contributions logged in portfolio.json since 07-22. COIN-XBT.ST priced at stale 2026-07-28 value (16218 SEK) - fresh equity fetch 404'd this sweep, see SESSION_LOG.md 2026-08-03 entry and reports/2026-08-03-council-memo.md."
2026-08-06,214862.98,0,"weekly sweep. Comparable to 2026-08-03 (219194.49) as a like-for-like scope - same accounts (Avanza ISK, hb-main, hb-checking, PayPal, ETH wallet). The ~4,332 SEK decrease is market movement (ATCO-B/ALFA/VOLV-B roughly flat to down, crypto softening) plus no new contributions logged this period, not a data-completeness event. Avanza Global (55.85% of total) and Avanza Auto 3 still priced at their last purchase/NAV value, not live - no ticker exists for either fund. See SESSION_LOG.md 2026-08-06 entry and reports/2026-08-06-council-memo.md."
2026-08-10,216373,0,"weekly automated sweep. Comparable to 2026-08-06 (214862.98) as a like-for-like scope - same accounts (Avanza ISK, hb-main, hb-checking, PayPal, ETH wallet). The ~1,510 SEK increase is NOT purely organic: ~259 SEK of it is a data-completeness fix (position_report.py had been silently carrying self-custody ETH at its stale 2026-08-03 book value of 8,911 SEK instead of repricing from this sweep's live CoinGecko data; corrected to ~9,170 SEK - see reports/2026-08-10-council-memo.md section 1 and the S-item candidate logged for meta). The remaining ~1,251 SEK is net market movement across the equity/crypto sleeve (small moves, mostly noise per the memo). No new contributions logged in portfolio.json this period; the 1,743.61 SEK idle ISK cash from the P6 build was still undeployed as of this snapshot (Council recommends buying Avanza Global, not yet executed by the user). AZN.ST's 1-share buy (executed 2026-08-06 at 1,520.50 SEK) is already reflected in both this row and the prior one. See SESSION_LOG.md 2026-08-10 entry and reports/2026-08-10-council-memo.md."
2026-08-17,214218.98,0,"weekly automated sweep (full-portfolio figure per the portfolio lens; investable-only Convention B reads 188775.43 SEK for the same date - see reports/2026-08-17-council-memo.md). NOT directly comparable to the 216373 2026-08-10 row as clean organic movement - this CSV has a two-sweep logging gap (08-12 sweep never got a valuations.csv row even though a council memo ran that day; theses for ATCO-B/ALFA/ABB/ETH were written and the crypto trip-wire first breached in that gap). Within the ~2,154 SEK net decrease since 08-10: no new contributions logged in portfolio.json; COIN-XBT.ST (15,488.04 SEK, 6 units) is carried at a 2026-08-13 Excel price, 4 days stale this sweep, because BOTH its own ticker (404) and the CoinGecko BTC directional proxy (429 x3, rate-limited on all 3 attempts) failed to price it live - a genuine new data gap, not a market move; ETH repriced live (9,004.85 SEK); the 7 real equity tickers all repriced live and moved only modestly (Volvo B -2.8% since 08-12, largest single move). The Council's Call 1 (trim COIN-XBT.ST by 1 unit, decided 08-12 for execution today) had NOT been executed as of this snapshot, so the 6-unit crypto position is unchanged from 08-12. See SESSION_LOG.md 2026-08-17 entry and reports/2026-08-17-council-memo.md."
2026-08-17,218826,0,"live session, second memo of the day (reports/2026-08-17-council-memo-2.md, supersedes reports/2026-08-17-council-memo.md, the 214218.98 row directly above). Full-portfolio convention per data/cache/definitions.json (D3, decided by the user today - full-portfolio, not Council's recommended investable-only Convention B); investable-only alternative reads 193382 SEK for the same snapshot (Avanza ISK 184352.65 + ETH 9029.46). The ~4,607 SEK increase vs. the same-day morning row is NOT clean organic growth: the user reported selling the FULL 6-unit COIN-XBT.ST position (not the 1-unit trim recommended that morning) at 2,561 SEK/unit, realizing 3,265.98 SEK tax-free inside the ISK - this converts a crypto holding into ISK cash, it is not new value created. The Avanza ISK cash line itself carries an unresolved +5,000 SEK discrepancy flagged this session (Excel shows 20,366 SEK; only 15,366 SEK traces cleanly to the confirmed sale) - the Council explicitly treated the extra 5,000 as unverified and did not size any call against it; do not assume it is real until checked against a live Avanza statement, and do not read it as this row's organic gain. Equity ticker moves were minimal (all under 2.2%) between the two same-day snapshots. Crypto allocation flipped from 11.43% (over the 12% trip-wire read under Convention B) to 4.13% (5.9pp under the 10% target) via the sale alone, no market move involved. No confirmed new contributions this session: the recommended AZN.ST buy (3 shares, ~4,440 SEK from a separate external 5,000 SEK) and the Avanza Global buy (2,513 SEK from ISK cash) were both decided as Council calls but not yet reported executed by the user - net_contribution_since_last_sek stays 0 until execution is confirmed. See SESSION_LOG.md 2026-08-17 entry (the second of three same-day entries, headlined 'Live session, second memo of the day') and reports/2026-08-17-council-memo-2.md."
